epoch,train_loss,val_loss,train_acc,val_acc,val_f1,lr
1,0.32657,0.24694,0.62196,0.67051,0.58737,0.00005
2,0.21670,0.23262,0.68326,0.66660,0.58964,0.00005
3,0.17718,0.21618,0.70397,0.69412,0.60213,0.00005
4,0.14934,0.23751,0.71966,0.67093,0.59695,0.00005
5,0.13035,0.24369,0.73228,0.67480,0.59578,0.00005
