epoch,train_loss,val_loss,train_acc,val_acc,val_f1,lr
1,0.24783,0.18249,0.61841,0.66529,0.58511,0.00005
2,0.15705,0.16578,0.67567,0.67029,0.58886,0.00005
3,0.12446,0.15656,0.69480,0.69294,0.59508,0.00005
4,0.10298,0.17400,0.70753,0.67093,0.59637,0.00005
5,0.08877,0.17792,0.71876,0.68022,0.59743,0.00005
