epoch,train_loss,val_loss,train_acc,val_acc,val_f1,lr
1,0.43923,0.34346,0.62713,0.67535,0.58481,0.00005
2,0.30788,0.33100,0.69131,0.67009,0.59337,0.00005
3,0.26004,0.30792,0.71317,0.69656,0.60291,0.00005
4,0.22466,0.33249,0.73254,0.67464,0.60164,0.00005
5,0.19892,0.34365,0.74861,0.67410,0.59721,0.00005
